"path","live_status","local_status","live_title","local_title","difference"
"/","200","200","Emergency plumbing help across Dallas-Fort Worth","Emergency plumbing help across Dallas-Fort Worth","no title/status difference in sample"
"/services/24-hour-emergency-plumber","200","200","24-hour emergency plumber in Dallas-Fort Worth | Plumbing Hands","24-hour emergency plumber in Dallas-Fort Worth | Plumbing Hands","no title/status difference in sample"
"/services/emergency-drain-cleaning","200","200","emergency drain cleaning in Dallas-Fort Worth | Plumbing Hands","emergency drain cleaning in Dallas-Fort Worth | Plumbing Hands","no title/status difference in sample"
"/services/main-sewer-line-clog","200","200","main sewer line clog in Dallas-Fort Worth | Plumbing Hands","main sewer line clog in Dallas-Fort Worth | Plumbing Hands","no title/status difference in sample"
"/cities","200","200","Dallas-Fort Worth plumbing service areas | Plumbing Hands","Dallas-Fort Worth plumbing service areas | Plumbing Hands","no title/status difference in sample"
"/cities/dallas","200","200","Emergency plumbing help in Dallas, TX | Plumbing Hands","Emergency plumbing help in Dallas, TX | Plumbing Hands","no title/status difference in sample"
"/cities/fort-worth","200","200","Emergency plumbing help in Fort Worth, TX | Plumbing Hands","Emergency plumbing help in Fort Worth, TX | Plumbing Hands","no title/status difference in sample"
"/cities/arlington","200","200","Emergency plumbing help in Arlington, TX | Plumbing Hands","Emergency plumbing help in Arlington, TX | Plumbing Hands","no title/status difference in sample"
"/cities/plano","200","200","Emergency plumbing help in Plano, TX | Plumbing Hands","Emergency plumbing help in Plano, TX | Plumbing Hands","no title/status difference in sample"
"/cities/irving","200","200","Emergency plumbing help in Irving, TX | Plumbing Hands","Emergency plumbing help in Irving, TX | Plumbing Hands","no title/status difference in sample"
"/cities/garland","200","200","Emergency plumbing help in Garland, TX | Plumbing Hands","Emergency plumbing help in Garland, TX | Plumbing Hands","no title/status difference in sample"
"/cities/frisco","200","200","Emergency plumbing help in Frisco, TX | Plumbing Hands","Emergency plumbing help in Frisco, TX | Plumbing Hands","no title/status difference in sample"
"/cities/mckinney","200","200","Emergency plumbing help in McKinney, TX | Plumbing Hands","Emergency plumbing help in McKinney, TX | Plumbing Hands","no title/status difference in sample"
"/cities/denton","200","200","Emergency plumbing help in Denton, TX | Plumbing Hands","Emergency plumbing help in Denton, TX | Plumbing Hands","no title/status difference in sample"
"/cities/lewisville","200","200","Emergency plumbing help in Lewisville, TX | Plumbing Hands","Emergency plumbing help in Lewisville, TX | Plumbing Hands","no title/status difference in sample"
"/cities/carrollton","200","200","Emergency plumbing help in Carrollton, TX | Plumbing Hands","Emergency plumbing help in Carrollton, TX | Plumbing Hands","no title/status difference in sample"
"/cities/richardson","200","200","Emergency plumbing help in Richardson, TX | Plumbing Hands","Emergency plumbing help in Richardson, TX | Plumbing Hands","no title/status difference in sample"
"/cost-guides/emergency-plumbing-cost-dfw","200","200","Emergency plumber cost in Dallas-Fort Worth | Plumbing Hands","Emergency plumber cost in Dallas-Fort Worth | Plumbing Hands","no title/status difference in sample"
"/problems/water-backing-up-in-shower-and-toilet","200","200","Water backing up in shower and toilet | Plumbing Hands","Water backing up in shower and toilet | Plumbing Hands","no title/status difference in sample"
"/blog","200","200","Emergency plumbing guides | Plumbing Hands","Emergency plumbing guides | Plumbing Hands","no title/status difference in sample"
"/blog/emergency-plumber-near-me-open-now-what-to-do-before-help-arrives","200","200","Emergency Plumber Near Me Open Now: What to Do Before Help Arrives | Plumbing Hands","Emergency Plumber Near Me Open Now: What to Do Before Help Arrives | Plumbing Hands","no title/status difference in sample"
"/faq","200","200","Emergency plumbing and drain cleaning FAQ | Plumbing Hands","Emergency plumbing and drain cleaning FAQ | Plumbing Hands","no title/status difference in sample"
"/contact","200","200","Request urgent plumbing help | Plumbing Hands","Request urgent plumbing help | Plumbing Hands","no title/status difference in sample"
"/partner-with-us","200","200","Provider partner inquiries | Plumbing Hands","Provider partner inquiries | Plumbing Hands","no title/status difference in sample"
"/disclosure","200","200","Provider connection disclosure | Plumbing Hands","Provider connection disclosure | Plumbing Hands","no title/status difference in sample"
"/privacy","200","200","Privacy policy | Plumbing Hands","Privacy policy | Plumbing Hands","no title/status difference in sample"
"/terms","200","200","Terms of use | Plumbing Hands","Terms of use | Plumbing Hands","no title/status difference in sample"
"/robots.txt","200","200","","","no title/status difference in sample"
"/sitemap.xml","200","200","","","no title/status difference in sample"
"/missing-final-phase2-validation-url","404","","404: This page could not be found.","","local server not run"
"/api/call-event?eventName=partner_application_submit&location=final-validation","200","200","","","no title/status difference in sample"
